exclusion_class,conversation_id,customer_id,business_id,phone,customer_name,status,current_state,conversation_created_at,last_message_at,message_count,turn_count,completed_turns,non_completed_turns,eval_trace_count,twilio_message_sid_count,first_message_at,message_last_at,first_message_preview,last_message_preview,summary,review_context,review_decision
synthetic_eval,762559f0-5112-4040-9166-3fdd38d177ea,6c273275-ec62-42de-935d-87998e2859ed,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+5216671518408,Juan,active,initial,2025-11-23 15:26:52.046136-07,2026-05-13 22:23:49.935-07,596,185,185,0,7,281,2026-02-11 16:12:26.364-07,2026-05-13 22:23:49.964415-07,nanda korewa,¡Listo! Tu orden está confirmada. 🎉 📋 **Número de orden:** `b8e49dfb-b60d-4051-a2e2-806b08ecd25a` 💰 **Total:** $102 Gracias por tu compra. ¡Nos vemos pronto! 😊,"Juan placed a third order for a small Matchata ($92) and a large Latte over ice with coconut milk ($139), totaling $231. After the bot requested confirmation, Juan responded with ""simpon,"" which the bot interpreted as unclear and asked for explicit confirmation before processing the order.","",keep_eval_archive
synthetic_eval,05edd52c-446f-4875-806c-5fc2d2e8bbc5,96050c52-6278-42ff-b3be-1bd606e8bf35,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164686660035,V2 Synthetic Eval smoke-no-keywords,active,clarification_needed,2026-05-06 18:14:28.693776-07,2026-05-06 18:14:32.835-07,2,1,1,0,0,0,2026-05-06 18:14:28.716284-07,2026-05-06 18:14:32.897014-07,me das un Matcha Blanco con leche de coco,¿Qué tamano prefieres: Chico o Grande?,,"",keep_eval_archive
synthetic_eval,258aab83-9f3b-4aa6-b523-9d9fc75c4716,30cb716a-dacd-4a6b-991f-ace5d38a6c31,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164638990034,V2 Synthetic Eval smoke-no-keywords,active,clarification_needed,2026-05-06 18:14:23.931055-07,2026-05-06 18:14:28.445-07,2,1,1,0,0,0,2026-05-06 18:14:23.955452-07,2026-05-06 18:14:28.510451-07,ponme un Matcha Vainilla en las rocas,¿Qué tamano prefieres: Chico o Grande?,,"",keep_eval_archive
synthetic_eval,75793851-938c-4c1f-8318-26b6480742d3,baa8d3ec-8b6b-459b-b2e9-3a33eeaba037,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164591320033,V2 Synthetic Eval smoke-no-keywords,active,awaiting_confirmation,2026-05-06 18:14:19.173794-07,2026-05-06 18:14:23.212-07,2,1,1,0,0,0,2026-05-06 18:14:19.194584-07,2026-05-06 18:14:23.271884-07,agregame un Brownie matcha caliente,📋 *Resumen de tu pedido:* • 1x Brownie matcha — $45 💰 *Total: $45* 📝 *Nota:* Brownie matcha caliente ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,e68fa356-66a8-4dab-8b58-5a846a09b50a,3048b81a-bcca-4025-a091-72eb3f61bc9f,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164551220032,V2 Synthetic Eval smoke-no-keywords,active,clarification_needed,2026-05-06 18:14:15.160403-07,2026-05-06 18:14:18.932-07,2,1,1,0,0,0,2026-05-06 18:14:15.187344-07,2026-05-06 18:14:18.991891-07,quiero un Matcha Sugar Free chico,"¿Cómo lo prefieres: Caliente, Rocas o Frappe?",,"",keep_eval_archive
synthetic_eval,3e33e02b-6900-42d0-9ecb-db3e5f3cb279,c8c9fbb8-beb9-4df7-9b8c-169d0f4facda,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555164509320031,V2 Synthetic Eval smoke-no-keywords,active,clarification_needed,2026-05-06 18:14:10.991999-07,2026-05-06 18:14:14.842-07,2,1,1,0,0,0,2026-05-06 18:14:11.021286-07,2026-05-06 18:14:14.930279-07,dame un Matcha Mascabado grande,"¿Cómo lo prefieres: Caliente, Rocas o Frappe?",,"",keep_eval_archive
synthetic_eval,d7d1d648-e42c-46b5-a536-3140b2fc20c4,420f7c87-7b82-4e5e-ab0f-2bc7f85a21a0,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555162151840065,V2 Synthetic Eval smoke-v2-fix3b,active,awaiting_confirmation,2026-05-06 18:10:15.244879-07,2026-05-06 18:10:36.045-07,8,4,4,0,0,0,2026-05-06 18:10:15.291298-07,2026-05-06 18:10:36.160181-07,me das un The coco club,📋 *Resumen de tu pedido:* • 1x The coco club — $0 • 1x Cuernito croissant solo — $30 💰 *Total: $30* 📝 *Nota:* Cuernito croissant solo chico ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,11083961-61bd-470f-9d17-8a22dcaa698a,16ab7195-cb72-4260-bd84-c75e21fa7582,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161766440064,V2 Synthetic Eval smoke-v2-fix3b,active,awaiting_confirmation,2026-05-06 18:09:36.678023-07,2026-05-06 18:10:14.705-07,8,4,4,0,0,0,2026-05-06 18:09:36.698888-07,2026-05-06 18:10:14.854618-07,ponme un Hielo Oso Kenny,📋 *Resumen de tu pedido:* • 2x Hielo Oso Kenny — $20 💰 *Total: $20* 📝 *Nota:* Ŷ ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,f5a34918-5a73-4e8c-bdf0-a645b5fe7b96,1b0611d1-e6e3-4836-b48e-1123d1d586c4,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161927140068,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:09:52.748798-07,2026-05-06 18:10:04.272-07,5,3,2,1,0,0,2026-05-06 18:09:52.769248-07,2026-05-06 18:10:04.473204-07,agregame un Matcha Blanco,olvida eso mejor quiero otra cosa,,"",keep_eval_archive
synthetic_eval,8699256a-c0ef-486d-bc82-98ee6a0e8e48,c44d22da-926d-4ae0-be1f-66cf94755001,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161698720067,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:09:29.90245-07,2026-05-06 18:09:52.524-07,8,4,4,0,0,0,2026-05-06 18:09:29.926014-07,2026-05-06 18:09:52.570985-07,quiero un Matcha Rosa,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
